DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,48,12.0,1.0,42.0,0.0,0.0,7.0,12.0,12.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,49,12.0,1.0,42.0,0.0,0.0,7.0,12.0,12.0,30.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,1,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,2,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,3,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,4,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,5,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,6,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,7,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,8,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
Dense Random Uniform,Imperfect Communication,w Timestamp,0.0,100.0,DSA_SY,0.7,9,77.0,1.0,0.0,0.0,0.0,2.0,77.0,0.0,77.0
